   Time             I1                VP1               V3              
 8.007500000E-001  3.818097435E+000  3.718101253E+000  4.998521069E-001 
 8.007600000E-001  3.817909007E+000  3.718110152E+000  4.998521050E-001 
 8.007700000E-001  3.817345461E+000  3.718137808E+000  4.998521031E-001 
 8.007800000E-001  3.816409020E+000  3.718184112E+000  4.998521012E-001 
 8.007900000E-001  3.815103383E+000  3.718248881E+000  4.998520993E-001 
 8.008000000E-001  3.813433699E+000  3.718331861E+000  4.998520974E-001 
 8.008100000E-001  3.811406560E+000  3.718432722E+000  4.998520955E-001 
 8.008200000E-001  3.809029964E+000  3.718551068E+000  4.998520937E-001 
 8.008300000E-001  3.806313293E+000  3.718686431E+000  4.998520918E-001 
 8.008400000E-001  3.803267266E+000  3.718838276E+000  4.998520899E-001 
 8.008500000E-001  3.799903906E+000  3.719006006E+000  4.998520880E-001 
 8.008600000E-001  3.796236485E+000  3.719188957E+000  4.998520861E-001 
 8.008700000E-001  3.792279478E+000  3.719386408E+000  4.998520842E-001 
 8.008800000E-001  3.788048502E+000  3.719597579E+000  4.998520823E-001 
 8.008900000E-001  3.783560254E+000  3.719821637E+000  4.998520805E-001 
 8.009000000E-001  3.778832446E+000  3.720057699E+000  4.998520786E-001 
 8.009100000E-001  3.773883737E+000  3.720304831E+000  4.998520767E-001 
 8.009200000E-001  3.768733658E+000  3.720562059E+000  4.998520748E-001 
 8.009300000E-001  3.763402534E+000  3.720828368E+000  4.998520730E-001 
 8.009400000E-001  3.757911405E+000  3.721102707E+000  4.998520711E-001 
 8.009500000E-001  3.752281940E+000  3.721383992E+000  4.998520692E-001 
 8.009600000E-001  3.746536357E+000  3.721671114E+000  4.998520674E-001 
 8.009700000E-001  3.740697332E+000  3.721962941E+000  4.998520655E-001 
 8.009800000E-001  3.734787908E+000  3.722258319E+000  4.998520637E-001 
 8.009900000E-001  3.728831407E+000  3.722556083E+000  4.998520618E-001 
 8.010000000E-001  3.722851337E+000  3.722855059E+000  4.998520600E-001 
 8.010100000E-001  3.716871298E+000  3.723154066E+000  4.998520581E-001 
 8.010200000E-001  3.710914890E+000  3.723451924E+000  4.998520563E-001 
 8.010300000E-001  3.705005622E+000  3.723747458E+000  4.998520544E-001 
 8.010400000E-001  3.699166814E+000  3.724039501E+000  4.998520526E-001 
 8.010500000E-001  3.693421509E+000  3.724326901E+000  4.998520508E-001 
 8.010600000E-001  3.687792381E+000  3.724608524E+000  4.998520489E-001 
 8.010700000E-001  3.682301646E+000  3.724883257E+000  4.998520471E-001 
 8.010800000E-001  3.676970974E+000  3.725150018E+000  4.998520453E-001 
 8.010900000E-001  3.671821402E+000  3.725407752E+000  4.998520435E-001 
 8.011000000E-001  3.666873253E+000  3.725655444E+000  4.998520416E-001 
 8.011100000E-001  3.662146054E+000  3.725892115E+000  4.998520398E-001 
 8.011200000E-001  3.657658463E+000  3.726116831E+000  4.998520380E-001 
 8.011300000E-001  3.653428190E+000  3.726328706E+000  4.998520362E-001 
 8.011400000E-001  3.649471930E+000  3.726526903E+000  4.998520344E-001 
 8.011500000E-001  3.645805295E+000  3.726710640E+000  4.998520326E-001 
 8.011600000E-001  3.642442758E+000  3.726879193E+000  4.998520307E-001 
 8.011700000E-001  3.639397588E+000  3.727031895E+000  4.998520289E-001 
 8.011800000E-001  3.636681802E+000  3.727168144E+000  4.998520271E-001 
 8.011900000E-001  3.634306120E+000  3.727287403E+000  4.998520253E-001 
 8.012000000E-001  3.632279917E+000  3.727389200E+000  4.998520235E-001 
 8.012100000E-001  3.630611189E+000  3.727473135E+000  4.998520217E-001 
 8.012200000E-001  3.629306521E+000  3.727538875E+000  4.998520199E-001 
 8.012300000E-001  3.628371064E+000  3.727586162E+000  4.998520181E-001 
 8.012400000E-001  3.627808508E+000  3.727614809E+000  4.998520163E-001 
 8.012500000E-001  3.627621074E+000  3.727624702E+000  4.998520145E-001 
 8.012600000E-001  3.627809502E+000  3.727615802E+000  4.998520127E-001 
 8.012700000E-001  3.628373047E+000  3.727588146E+000  4.998520109E-001 
 8.012800000E-001  3.629309487E+000  3.727541841E+000  4.998520091E-001 
 8.012900000E-001  3.630615124E+000  3.727477071E+000  4.998520073E-001 
 8.013000000E-001  3.632284808E+000  3.727394091E+000  4.998520055E-001 
 8.013100000E-001  3.634311946E+000  3.727293229E+000  4.998520037E-001 
 8.013200000E-001  3.636688541E+000  3.727174883E+000  4.998520019E-001 
 8.013300000E-001  3.639405212E+000  3.727039520E+000  4.998520001E-001 
 8.013400000E-001  3.642451238E+000  3.726887673E+000  4.998519983E-001 
 8.013500000E-001  3.645814598E+000  3.726719943E+000  4.998519965E-001 
 8.013600000E-001  3.649482017E+000  3.726536992E+000  4.998519947E-001 
 8.013700000E-001  3.653439024E+000  3.726339540E+000  4.998519929E-001 
 8.013800000E-001  3.657670000E+000  3.726128368E+000  4.998519911E-001 
 8.013900000E-001  3.662158248E+000  3.725904309E+000  4.998519893E-001 
 8.014000000E-001  3.666886055E+000  3.725668248E+000  4.998519874E-001 
 8.014100000E-001  3.671834763E+000  3.725421115E+000  4.998519856E-001 
 8.014200000E-001  3.676984841E+000  3.725163886E+000  4.998519838E-001 
 8.014300000E-001  3.682315965E+000  3.724897577E+000  4.998519820E-001 
 8.014400000E-001  3.687807094E+000  3.724623238E+000  4.998519802E-001 
 8.014500000E-001  3.693436558E+000  3.724341952E+000  4.998519783E-001 
 8.014600000E-001  3.699182140E+000  3.724054829E+000  4.998519765E-001 
 8.014700000E-001  3.705021165E+000  3.723763002E+000  4.998519747E-001 
 8.014800000E-001  3.710930588E+000  3.723467623E+000  4.998519728E-001 
 8.014900000E-001  3.716887089E+000  3.723169858E+000  4.998519710E-001 
 8.015000000E-001  3.722867159E+000  3.722870882E+000  4.998519691E-001 
 8.015100000E-001  3.728847197E+000  3.722571874E+000  4.998519673E-001 
 8.015200000E-001  3.734803604E+000  3.722274016E+000  4.998519654E-001 
 8.015300000E-001  3.740712871E+000  3.721978481E+000  4.998519636E-001 
 8.015400000E-001  3.746551679E+000  3.721686438E+000  4.998519617E-001 
 8.015500000E-001  3.752296984E+000  3.721399037E+000  4.998519599E-001 
 8.015600000E-001  3.757926111E+000  3.721117414E+000  4.998519580E-001 
 8.015700000E-001  3.763416845E+000  3.720842680E+000  4.998519561E-001 
 8.015800000E-001  3.768747517E+000  3.720575919E+000  4.998519543E-001 
 8.015900000E-001  3.773897089E+000  3.720318183E+000  4.998519524E-001 
 8.016000000E-001  3.778845238E+000  3.720070491E+000  4.998519505E-001 
 8.016100000E-001  3.783572435E+000  3.719833820E+000  4.998519487E-001 
