   Time             Iac2              Iac1              Vac1              Vac2            
 8.000570000E-001 -1.890595236E-003  4.216538230E-005  3.982378858E+000  3.983732797E+000 
 8.000580000E-001 -1.886677925E-003  4.758149430E-005  3.982380579E+000  3.983731228E+000 
 8.000590000E-001 -1.883425416E-003  5.300115902E-005  3.982382303E+000  3.983729664E+000 
 8.000600000E-001 -1.880915868E-003  5.841727102E-005  3.982384031E+000  3.983728104E+000 
 8.000610000E-001 -1.879226108E-003  6.383160667E-005  3.982385762E+000  3.983726546E+000 
 8.000620000E-001 -1.878434297E-003  6.924416596E-005  3.982387497E+000  3.983724990E+000 
 8.000630000E-001 -1.878615929E-003  7.465672525E-005  3.982389236E+000  3.983723435E+000 
 8.000640000E-001 -1.879847389E-003  8.006573182E-005  3.982390979E+000  3.983721880E+000 
 8.000650000E-001 -1.882204170E-003  8.547296204E-005  3.982392725E+000  3.983720323E+000 
 8.000660000E-001 -1.885759993E-003  9.088019226E-005  3.982394475E+000  3.983718764E+000 
 8.000670000E-001 -1.890589907E-003  9.628209341E-005  3.982396229E+000  3.983717201E+000 
 8.000680000E-001 -1.896766744E-003  1.016839946E-004  3.982397986E+000  3.983715633E+000 
 8.000690000E-001 -1.904363778E-003  1.070823430E-004  3.982399747E+000  3.983714058E+000 
 8.000700000E-001 -1.913452063E-003  1.124771387E-004  3.982401511E+000  3.983712475E+000 
 8.000710000E-001 -1.924103099E-003  1.178719344E-004  3.982403279E+000  3.983710881E+000 
 8.000720000E-001 -1.936387495E-003  1.232631774E-004  3.982405051E+000  3.983709277E+000 
 8.000730000E-001 -1.950374084E-003  1.286526441E-004  3.982406827E+000  3.983707659E+000 
 8.000740000E-001 -1.966132590E-003  1.340367817E-004  3.982408606E+000  3.983706026E+000 
 8.000750000E-001 -1.983729625E-003  1.394191429E-004  3.982410388E+000  3.983704376E+000 
 8.000760000E-001 -2.003233135E-003  1.447979514E-004  3.982412174E+000  3.983702707E+000 
 8.000770000E-001 -2.024707957E-003  1.501749836E-004  3.982413964E+000  3.983701018E+000 
 8.000780000E-001 -2.047912506E-003  1.564632868E-004  3.982415760E+000  3.983699299E+000 
 8.000790000E-001 -2.070954075E-003  1.647357806E-004  3.982417564E+000  3.983697561E+000 
 8.000800000E-001 -2.093964113E-003  1.744400180E-004  3.982419375E+000  3.983695806E+000 
 8.000810000E-001 -2.116932851E-003  1.859881138E-004  3.982421196E+000  3.983694031E+000 
 8.000820000E-001 -2.139859401E-003  1.992930265E-004  3.982423030E+000  3.983692234E+000 
 8.000830000E-001 -2.162742874E-003  2.142570565E-004  3.982424878E+000  3.983690416E+000 
 8.000840000E-001 -2.185582826E-003  2.307913860E-004  3.982426741E+000  3.983688577E+000 
 8.000850000E-001 -2.208379257E-003  2.488000916E-004  3.982428621E+000  3.983686718E+000 
 8.000860000E-001 -2.231131280E-003  2.681872502E-004  3.982430520E+000  3.983684837E+000 
 8.000870000E-001 -2.253838449E-003  2.888604911E-004  3.982432438E+000  3.983682936E+000 
 8.000880000E-001 -2.276501210E-003  3.107221147E-004  3.982434376E+000  3.983681013E+000 
 8.000890000E-001 -2.299117785E-003  3.336815269E-004  3.982436336E+000  3.983679070E+000 
 8.000900000E-001 -2.321688619E-003  3.576374752E-004  3.982438318E+000  3.983677107E+000 
 8.000910000E-001 -2.344212824E-003  3.824975892E-004  3.982440324E+000  3.983675123E+000 
 8.000920000E-001 -2.366690399E-003  4.081659455E-004  3.982442354E+000  3.983673118E+000 
 8.000930000E-001 -2.389120457E-003  4.345430682E-004  3.982444409E+000  3.983671093E+000 
 8.000940000E-001 -2.411502553E-003  4.615365867E-004  3.982446489E+000  3.983669048E+000 
 8.000950000E-001 -2.433836688E-003  4.890470251E-004  3.982448594E+000  3.983666982E+000 
 8.000960000E-001 -2.456121528E-003  5.169820128E-004  3.982450726E+000  3.983664897E+000 
 8.000970000E-001 -2.478357963E-003  5.452420737E-004  3.982452884E+000  3.983662791E+000 
 8.000980000E-001 -2.500543772E-003  5.737295083E-004  3.982455068E+000  3.983660665E+000 
 8.000990000E-001 -2.522680287E-003  6.023537225E-004  3.982457279E+000  3.983658519E+000 
 8.001000000E-001 -2.544766176E-003  6.310134637E-004  3.982459517E+000  3.983656353E+000 
 8.001010000E-001 -2.566800994E-003  6.596163615E-004  3.982461780E+000  3.983654167E+000 
 8.001020000E-001 -2.588784298E-003  6.880647163E-004  3.982464070E+000  3.983651961E+000 
 8.001030000E-001 -2.610716088E-003  7.162626048E-004  3.982466386E+000  3.983649736E+000 
 8.001040000E-001 -2.632595475E-003  7.441176564E-004  3.982468727E+000  3.983647491E+000 
 8.001050000E-001 -2.654422016E-003  7.715339478E-004  3.982471093E+000  3.983645227E+000 
 8.001060000E-001 -2.676195265E-003  7.984173322E-004  3.982473483E+000  3.983642943E+000 
 8.001070000E-001 -2.697915225E-003  8.246736627E-004  3.982475897E+000  3.983640639E+000 
 8.001080000E-001 -2.719581005E-003  8.502087923E-004  3.982478334E+000  3.983638317E+000 
 8.001090000E-001 -2.741192162E-003  8.749321267E-004  3.982480792E+000  3.983635975E+000 
 8.001100000E-001 -2.762748696E-003  8.987495193E-004  3.982483271E+000  3.983633613E+000 
 8.001110000E-001 -2.784249720E-003  9.215685992E-004  3.982485771E+000  3.983631233E+000 
 8.001120000E-001 -2.805695232E-003  9.432987724E-004  3.982488288E+000  3.983628834E+000 
 8.001130000E-001 -2.827084344E-003  9.638529974E-004  3.982490824E+000  3.983626415E+000 
 8.001140000E-001 -2.848416614E-003  9.831353509E-004  3.982493375E+000  3.983623978E+000 
 8.001150000E-001 -2.869692040E-003  1.001060568E-003  3.982495942E+000  3.983621522E+000 
 8.001160000E-001 -2.890909734E-003  1.017539830E-003  3.982498521E+000  3.983619047E+000 
 8.001170000E-001 -2.912070141E-003  1.032484320E-003  3.982501112E+000  3.983616553E+000 
 8.001180000E-001 -2.933171483E-003  1.045806997E-003  3.982503713E+000  3.983614041E+000 
 8.001190000E-001 -2.954214651E-003  1.057426147E-003  3.982506322E+000  3.983611511E+000 
 8.001200000E-001 -2.975198310E-003  1.067252953E-003  3.982508937E+000  3.983608962E+000 
 8.001210000E-001 -2.996122461E-003  1.075203926E-003  3.982511557E+000  3.983606394E+000 
 8.001220000E-001 -3.016986660E-003  1.081195578E-003  3.982514180E+000  3.983603809E+000 
 8.001230000E-001 -3.038138630E-003  1.085078694E-003  3.982516802E+000  3.983601206E+000 
